SANS Control Name,Definition,Why Critical,Control #,Control Evaluation,Weight,short,Procedure and Tools,Effectiveness Metrics
Secure Network Engineering ,,,CSC 19-2,"To support rapid response and shunning of detected attacks, do you engineer the network architecture and its corresponding systems for rapid deployment of new access control lists, rules, signatures, blocks, blackholes, and other defensive measures ?",2,Engineer for rapid deployment,,
Secure Network Engineering ,,,CSC 19-3,"Do you deploy domain name systems (DNS) in a hierarchical, structured fashion, with all internal network client machines configured to send requests to intranet DNS servers, not to DNS servers located on the Internet ?",2,Deploy DNS in hierarchial structured fashion,,
Secure Network Engineering ,,,CSC 19-4,"Do you segment the enterprise network into multiple, separate trust zones to provide more granular control of system access and additional intranet boundary defenses.",2,Segment network into multiple trust zones ,,
Penetration Tests and Red Team Exercises,"Test the overall strength of an organization's defenses (the technology, the processes, and the people) by simulating the objectives and actions of an attacker. ","Successful defense requires a comprehensive program of technical defenses, good policy and governance, and appropriate action by people. In a complex environment where technology is constantly evolving, and new attacker tradecraft appears regularly, organizations should periodically test their defenses to identify gaps and to assess their readiness. ",CSC 20-1,"Do you conduct regular external and internal penetration tests to identify vulnerabilities and attack vectors that can be used to exploit enterprise systems successfully?  Penetration testing should occur from outside the network perimeter (i.e., the Internet or wireless frequencies around an organization) as well as from within its boundaries (i.e., on the internal network) to simulate both outsider and insider attacks.",1,Regulaf penetration testing,,
Penetration Tests and Red Team Exercises,,"Penetration testing starts from the identification and assessment of vulnerabilities that can be identified in the enterprise. It complements this by designing and executing tests that demonstrate specifically how an adversary can either subvert the organization's security goals (e.g., the protection of specific Intellectual Property) or achieve specific adversarial objectives (e.g., establishment of a covert Command and Control infrastructure). The result provides deeper insight, through demonstration, into the business risks of various vulnerabilities.",CSC 20-2,"Do you ensure that any user or system accounts used to perform penetration testing, are controlled and monitored to make sure they are only being used for legitimate purposes, and are removed or restored to normal function after testing is over ?",1,Control use of accounts for Penetration testing ,,
Penetration Tests and Red Team Exercises,,"Red Team exercises take a comprehensive approach at the full spectrum of organization policies, processes, and defenses in order to improve organizational readiness, improve training for defensive practitioners, and inspect current performance levels. Independent Red Teams can provide valuable and objective insights about the existence of vulnerabilities and the efficacy of defenses and mitigating controls already in place and even of those planned for future implementation.",CSC 20-3,Do you perform periodic Red Team exercises to test organizational readiness to identify and stop attacks or to respond quickly and effectively.,2,Perform Red Team exercises,,
Penetration Tests and Red Team Exercises,,,CSC 20-4,"Do you Include tests for the presence of unprotected system information and artifacts that would be useful to attackers, including network diagrams, configuration files, older penetration test reports, e-mails or documents containing passwords or other information critical to system operation ?",2,Include tests for unprotected systems,,
Penetration Tests and Red Team Exercises,,,CSC 20-5,"Do you plan clear goals of the penetration test itself with blended attacks in mind, identifying the goal machine or target asset? Many APT-style attacks deploy multiple vectors--often social engineering combined with web or network exploitation. ",2,Plan blended attacks in penetration testing,,
Penetration Tests and Red Team Exercises,,,CSC 20-6,Do you use vulnerability scanning and penetration testing tools in concert? The results of vulnerability scanning assessments should be used as a starting point to guide and focus penetration testing efforts.,2,Vulnerability scanning and penetration testing in concert mode,,
Penetration Tests and Red Team Exercises,,,CSC 20-7,Do you devise a scoring method for determining the results of Red Team exercises so that results can be compared over time ?,3,Scoring method for Red team exercise results,,
Penetration Tests and Red Team Exercises,,,CSC 20-8,"Do you create a test bed that mimics a production environment for specific penetration tests and Red Team attacks against elements that are not typically tested in production, such as attacks against supervisory control and data acquisition and other control systems ?",3,Simulate penetration attacks against controls systems,,
